Source,Time,Line
May 16–21,May 16 11:09:41,"May 16 11:09:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:10:11,"May 16 11:10:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:10:29,May 16 11:10:29 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 11:10:29,May 16 11:10:29 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 11:10:41,"May 16 11:10:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:11:11,"May 16 11:11:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:11:41,"May 16 11:11:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:11:47,May 16 11:11:47 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 11:11:47,May 16 11:11:47 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 11:12:11,"May 16 11:12:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:12:41,"May 16 11:12:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:13:11,"May 16 11:13:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:13:41,"May 16 11:13:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:14:11,"May 16 11:14:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:14:41,"May 16 11:14:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:15:11,"May 16 11:15:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:15:41,"May 16 11:15:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:16:11,"May 16 11:16:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:16:41,"May 16 11:16:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:16:44,May 16 11:16:44 Antminer local0.notice cgminer[1403]: Pool 0 difficulty changed to 524288
May 16–21,May 16 11:17:11,"May 16 11:17:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:17:41,"May 16 11:17:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:18:11,"May 16 11:18:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:18:41,"May 16 11:18:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:19:11,"May 16 11:19:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:19:41,"May 16 11:19:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:20:11,"May 16 11:20:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:20:41,"May 16 11:20:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:21:11,"May 16 11:21:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:21:41,"May 16 11:21:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:22:11,"May 16 11:22:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:22:41,"May 16 11:22:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
